epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,3973.17,1.04235,0.89079,1.22769,0.86522,0.71881,0.79809,0.52133,1.12716,0.68604,1.17054,0.000190008,0.000190008,0.000190008
164,3996.86,1.04289,0.89212,1.22463,0.87097,0.71733,0.79802,0.52128,1.12623,0.69463,1.17035,0.000185008,0.000185008,0.000185008
165,4020.65,1.03542,0.89377,1.22715,0.87093,0.71966,0.80145,0.52504,1.11639,0.68317,1.16087,0.000180008,0.000180008,0.000180008
166,4044.61,1.03942,0.8936,1.22498,0.86704,0.72126,0.80145,0.52512,1.11231,0.68187,1.16113,0.000175008,0.000175008,0.000175008
167,4068.51,1.06996,0.91574,1.24101,0.86881,0.72413,0.80393,0.52907,1.10745,0.67641,1.151,0.000170008,0.000170008,0.000170008
168,4092.48,1.03669,0.88839,1.22231,0.87709,0.72272,0.80637,0.52865,1.11242,0.67809,1.15735,0.000165008,0.000165008,0.000165008
169,4116.27,1.047,0.8957,1.22964,0.8707,0.72117,0.80541,0.5298,1.10573,0.67627,1.1541,0.000160008,0.000160008,0.000160008
170,4140.14,1.02378,0.86841,1.21609,0.86915,0.72137,0.80103,0.52714,1.10888,0.67679,1.15916,0.000155008,0.000155008,0.000155008
171,4163.83,1.03294,0.88331,1.22003,0.87572,0.7187,0.80337,0.52959,1.10779,0.67656,1.1541,0.000150009,0.000150009,0.000150009
172,4187.7,1.02657,0.87582,1.22309,0.866,0.72527,0.80454,0.5305,1.10824,0.67745,1.15629,0.000145009,0.000145009,0.000145009
173,4211.64,1.03967,0.89062,1.22121,0.86412,0.72542,0.80443,0.52867,1.10849,0.67662,1.15724,0.000140009,0.000140009,0.000140009
174,4235.41,1.02417,0.86477,1.21382,0.86535,0.72772,0.80616,0.53081,1.10606,0.67397,1.1569,0.000135009,0.000135009,0.000135009
175,4259.67,1.02706,0.88584,1.23029,0.86635,0.7264,0.80653,0.53345,1.09881,0.66896,1.14927,0.000130009,0.000130009,0.000130009
